fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,02,36,TELANGANA,692,SIDDIPET,IGNWPS,6158,1383,78,444,4253,6146,5606,2025-03-07
2024-2025,02,38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",464,DIU,IGNWPS,1291,56,4,88,1143,274,1,2025-03-07
2024-2025,02,5,UTTARAKHAND,46,BAGESHWAR,IGNWPS,813,279,0,508,26,385,416,2025-03-07
2024-2025,02,5,UTTARAKHAND,50,HARIDWAR,IGNWPS,2613,656,1,1276,680,1045,800,2025-03-07
2024-2025,02,5,UTTARAKHAND,53,PITHORAGARH,IGNWPS,1092,328,22,712,30,388,86,2025-03-07
2024-2025,02,5,UTTARAKHAND,55,"TEHRI GARWAL",IGNWPS,6304,692,5,5602,5,2014,539,2025-03-07
2024-2025,02,6,HARYANA,63,HISAR,IGNWPS,10951,3225,0,5889,1837,7437,3051,2025-03-07
2024-2025,02,6,HARYANA,67,KARNAL,IGNWPS,9927,1117,0,7686,1124,6461,3455,2025-03-07
2024-2025,02,6,HARYANA,70,PANCHKULA,IGNWPS,1552,373,0,840,339,1065,594,2025-03-07
2024-2025,02,6,HARYANA,701,"CHARKI DADRI",IGNWPS,1761,478,0,929,354,1293,671,2025-03-07
2024-2025,02,6,HARYANA,72,REWARI,IGNWPS,4416,1037,0,2391,988,3009,1359,2025-03-07
2024-2025,02,6,HARYANA,74,SIRSA,IGNWPS,5885,2311,0,2362,1212,4222,1894,2025-03-07
2024-2025,02,7,DELHI,78,EAST,IGNWPS,5365,52,2,5292,19,5357,5279,2025-03-07
2024-2025,02,7,DELHI,84,"SOUTH WEST ",IGNWPS,3074,23,0,3034,17,3068,2049,2025-03-07
2024-2025,02,8,RAJASTHAN,109,KOTA,IGNWPS,7644,1821,476,3137,2210,7039,7279,2025-03-07
2024-2025,02,8,RAJASTHAN,116,TONK,IGNWPS,5807,1494,675,1291,2347,5287,5683,2025-03-07
2024-2025,02,8,RAJASTHAN,87,ALWAR,IGNWPS,10053,2361,827,2795,4070,8652,9569,2025-03-07
2024-2025,02,8,RAJASTHAN,90,BARMER,IGNWPS,14259,2843,1187,3042,7187,12403,12949,2025-03-07
2024-2025,02,8,RAJASTHAN,91,BHARATPUR,IGNWPS,8379,2374,320,2072,3613,7273,7710,2025-03-07
2024-2025,02,8,RAJASTHAN,95,CHITTORGARH,IGNWPS,10819,2653,2322,1571,4273,9276,9745,2025-03-07
2024-2025,02,8,RAJASTHAN,97,DAUSA,IGNWPS,6113,1890,1257,862,2104,5305,5931,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",121,"AMBEDKAR NAGAR",IGNWPS,14680,5221,0,2218,7241,2415,8835,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",136,CHITRAKOOT,IGNWPS,6155,2521,0,1255,2379,1092,3199,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",140,AYODHYA,IGNWPS,13399,3865,0,3397,6137,2804,6801,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",141,FARRUKHABAD,IGNWPS,18815,4576,2,5016,9221,8197,7407,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",159,KHERI,IGNWPS,22525,9703,519,6435,5868,6585,6637,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",165,MAHOBA,IGNWPS,5638,1773,0,1030,2835,2003,2709,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",167,MATHURA,IGNWPS,14728,4931,0,3662,6135,6786,6992,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",168,MAU,IGNWPS,9292,2692,59,1466,5075,1969,5032,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",171,MORADABAD,IGNWPS,16123,2243,2,6865,7013,6416,6166,2025-03-07
2024-2025,02,9,"UTTAR PRADESH",186,UNNAO,IGNWPS,17876,10523,0,1755,5598,7633,8518,2025-03-07
2024-2025,05,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNWPS,596,0,1,594,1,530,217,2024-07-31
2024-2025,05,1,"JAMMU AND KASHMIR",3,BARAMULLA,IGNWPS,471,0,0,471,0,470,25,2024-07-31
2024-2025,05,1,"JAMMU AND KASHMIR",621,RAMBAN,IGNWPS,236,1,1,234,0,198,64,2024-07-31
2024-2025,05,1,"JAMMU AND KASHMIR",622,KULGAM,IGNWPS,390,20,0,357,13,390,29,2024-07-31
2024-2025,05,1,"JAMMU AND KASHMIR",627,REASI,IGNWPS,97,1,37,58,1,95,0,2024-07-31
2024-2025,05,10,BIHAR,191,BEGUSARAI,IGNWPS,17082,3313,92,9781,3896,13612,13806,2024-07-31
2024-2025,05,10,BIHAR,192,BHAGALPUR,IGNWPS,15318,1879,255,12372,812,9961,12203,2024-07-31
2024-2025,05,10,BIHAR,193,BHOJPUR,IGNWPS,10092,2050,126,4385,3531,5455,7795,2024-07-31
2024-2025,05,10,BIHAR,200,"KAIMUR (BHABUA)",IGNWPS,7976,1575,269,4779,1353,4149,6953,2024-07-31
2024-2025,05,10,BIHAR,204,LAKHISARAI,IGNWPS,4116,684,34,1588,1810,2883,3181,2024-07-31
2024-2025,05,10,BIHAR,205,MADHEPURA,IGNWPS,16359,2167,194,12326,1672,11055,13258,2024-07-31
2024-2025,05,10,BIHAR,207,MUNGER,IGNWPS,8394,1313,122,6277,682,5913,6581,2024-07-31
2024-2025,05,10,BIHAR,210,NAWADA,IGNWPS,6465,2275,73,1552,2565,4176,4933,2024-07-31
2024-2025,05,10,BIHAR,211,"PASHCHIM CHAMPARAN",IGNWPS,23640,2469,985,17130,3056,13313,19300,2024-07-31
2024-2025,05,10,BIHAR,216,SAHARSA,IGNWPS,12568,2088,66,7037,3377,8442,10197,2024-07-31
2024-2025,05,10,BIHAR,224,VAISHALI,IGNWPS,25170,6390,112,5108,13560,17553,21438,2024-07-31
2024-2025,05,11,SIKKIM,226,"NORTH DISTRICT",IGNWPS,73,2,71,0,0,0,0,2024-07-31
2024-2025,05,12,"ARUNACHAL PRADESH",234,LOHIT,IGNWPS,136,0,136,0,0,84,0,2024-07-31
2024-2025,05,12,"ARUNACHAL PRADESH",241,"UPPER SUBANSIRI",IGNWPS,712,0,712,0,0,510,0,2024-07-31
2024-2025,05,12,"ARUNACHAL PRADESH",719,"LOWER SIANG",IGNWPS,83,0,83,0,0,28,3,2024-07-31
2024-2025,05,12,"ARUNACHAL PRADESH",724,LEPARADA,IGNWPS,131,0,131,0,0,80,0,2024-07-31
2024-2025,05,13,NAGALAND,247,MON,IGNWPS,465,0,465,0,0,0,0,2024-07-31
2024-2025,05,13,NAGALAND,248,PHEK,IGNWPS,436,0,436,0,0,0,0,2024-07-31
2024-2025,05,13,NAGALAND,251,ZUNHEBOTO,IGNWPS,434,1,433,0,0,75,0,2024-07-31
2024-2025,05,14,MANIPUR,256,"IMPHAL WEST",IGNWPS,1811,58,37,932,784,1418,640,2024-07-31
2024-2025,05,15,MIZORAM,261,AIZAWL,IGNWPS,719,1,698,20,0,610,486,2024-07-31
2024-2025,05,15,MIZORAM,263,KOLASIB,IGNWPS,166,1,164,1,0,148,126,2024-07-31
2024-2025,05,16,TRIPURA,270,"NORTH TRIPURA",IGNWPS,1137,336,136,446,219,675,2,2024-07-31
2024-2025,05,16,TRIPURA,652,KHOWAI,IGNWPS,2287,434,774,622,457,606,0,2024-07-31
2024-2025,05,16,TRIPURA,653,SEPAHIJALA,IGNWPS,2458,200,565,1492,201,1312,205,2024-07-31
2024-2025,05,17,MEGHALAYA,277,"SOUTH GARO HILLS",IGNWPS,413,9,385,13,6,70,1,2024-07-31
2024-2025,05,17,MEGHALAYA,658,"SOUTH WEST KHASI HILLS",IGNWPS,371,6,349,16,0,290,112,2024-07-31
2024-2025,05,18,ASSAM,282,CACHAR,IGNWPS,6455,970,119,4418,948,3811,4365,2024-07-31
2024-2025,05,18,ASSAM,283,DARRANG,IGNWPS,3691,57,7,3504,123,2182,652,2024-07-31
2024-2025,05,18,ASSAM,285,DHUBRI,IGNWPS,7050,77,0,6637,336,5808,5439,2024-07-31
2024-2025,05,18,ASSAM,291,KAMRUP,IGNWPS,5268,258,245,4485,280,4380,3096,2024-07-31
2024-2025,05,18,ASSAM,294,KOKRAJHAR,IGNWPS,3663,168,1639,973,883,2934,3067,2024-07-31
2024-2025,05,18,ASSAM,297,NAGAON,IGNWPS,6581,661,344,5044,532,4427,4758,2024-07-31
2024-2025,05,18,ASSAM,298,NALBARI,IGNWPS,3089,0,1,3087,1,2458,2400,2024-07-31
2024-2025,05,18,ASSAM,618,"KAMRUP METRO",IGNWPS,828,148,75,549,56,715,785,2024-07-31
2024-2025,05,18,ASSAM,705,BISWANATH,IGNWPS,2803,121,273,2126,283,1915,690,2024-07-31
2024-2025,05,18,ASSAM,707,"SOUTH SALMARA-MANCACHAR",IGNWPS,2306,38,0,2264,4,1619,1217,2024-07-31
2024-2025,05,18,ASSAM,709,HOJAI,IGNWPS,3206,419,134,2517,136,1961,2279,2024-07-31
2024-2025,05,19,"WEST BENGAL",305,BANKURA,IGNWPS,34489,16907,3463,12447,1632,33650,32430,2024-07-31
2024-2025,05,19,"WEST BENGAL",308,COOCHBEHAR,IGNWPS,30218,14341,141,15410,301,29809,29466,2024-07-31
2024-2025,05,19,"WEST BENGAL",703,JHARGRAM,IGNWPS,12188,3154,3933,5093,7,11634,12155,2024-07-31
2024-2025,05,2,"HIMACHAL PRADESH",15,BILASPUR,IGNWPS,1474,489,53,855,77,832,0,2024-07-31
2024-2025,05,2,"HIMACHAL PRADESH",17,HAMIRPUR,IGNWPS,2008,605,27,1037,339,1143,0,2024-07-31
2024-2025,05,20,JHARKHAND,324,DEOGHAR,IGNWPS,9313,1473,127,6000,1713,9231,2974,2024-07-31
2024-2025,05,20,JHARKHAND,325,DHANBAD,IGNWPS,20844,3391,2316,5869,9268,20713,4260,2024-07-31
2024-2025,05,20,JHARKHAND,342,SIMDEGA,IGNWPS,5561,599,3882,306,774,5554,1255,2024-07-31
2024-2025,05,21,ODISHA,352,DHENKANAL,IGNWPS,15563,2150,1003,10162,2248,15563,8567,2024-07-31
2024-2025,05,21,ODISHA,354,GANJAM,IGNWPS,47101,7195,1053,28102,10751,45636,18743,2024-07-31
2024-2025,05,21,ODISHA,356,JAJPUR,IGNWPS,18850,2064,505,12754,3527,18815,7442,2024-07-31
2024-2025,05,21,ODISHA,357,JHARSUGUDA,IGNWPS,4582,731,1477,1459,915,4464,2894,2024-07-31
2024-2025,05,21,ODISHA,362,KHORDHA,IGNWPS,17054,652,154,14416,1832,17048,10422,2024-07-31
2024-2025,05,21,ODISHA,364,MALKANGIRI,IGNWPS,10143,1260,4068,4738,77,10142,3516,2024-07-31
2024-2025,05,22,CHHATTISGARH,381,KANKER,IGNWPS,7394,337,2952,2693,1412,6750,3708,2024-07-31
2024-2025,05,22,CHHATTISGARH,383,KORBA,IGNWPS,9880,708,3593,3363,2216,8856,918,2024-07-31
2024-2025,05,22,CHHATTISGARH,643,KONDAGAON,IGNWPS,8215,297,5439,1177,1302,8100,2677,2024-07-31
2024-2025,05,22,CHHATTISGARH,650,BEMETARA,IGNWPS,3737,420,120,1173,2024,3204,1166,2024-07-31
2024-2025,05,22,CHHATTISGARH,761,"MOHLA MANPUR AMBAGARH CHOUKI",IGNWPS,2965,164,1536,602,663,2892,1008,2024-07-31
2024-2025,05,22,CHHATTISGARH,762,SAKTI,IGNWPS,5169,751,518,2075,1825,4745,809,2024-07-31
2024-2025,05,23,"MADHYA PRADESH",390,ANUPPUR,IGNWPS,12244,1406,6921,717,3200,6542,2617,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",1,ANANTNAG,IGNWPS,218,1,19,192,6,188,1,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",620,KISHTWAR,IGNWPS,229,0,0,229,0,221,5,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",621,RAMBAN,IGNWPS,231,0,1,230,0,193,60,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",7,KATHUA,IGNWPS,345,194,24,124,3,345,1,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",8,KUPWARA,IGNWPS,462,5,9,242,206,462,379,2024-07-31
2023-2024,02,10,BIHAR,188,ARARIA,IGNWPS,24822,3283,135,20275,1129,15807,17268,2024-07-31
2023-2024,02,10,BIHAR,189,AURANAGABAD,IGNWPS,7134,2132,81,4433,488,4216,5602,2024-07-31
2023-2024,02,10,BIHAR,191,BEGUSARAI,IGNWPS,17082,3313,92,9781,3896,13612,13806,2024-07-31
2023-2024,02,10,BIHAR,199,JEHANABAD,IGNWPS,5200,837,295,1924,2144,3949,3781,2024-07-31
2023-2024,02,10,BIHAR,200,"KAIMUR (BHABUA)",IGNWPS,7976,1575,269,4779,1353,4149,6953,2024-07-31
2023-2024,02,10,BIHAR,206,MADHUBANI,IGNWPS,34795,2924,144,27609,4118,23990,27940,2024-07-31
2023-2024,02,10,BIHAR,208,MUZAFFARPUR,IGNWPS,36542,7704,128,26564,2146,24860,30758,2024-07-31
2023-2024,02,10,BIHAR,219,SHEIKHPURA,IGNWPS,3162,415,11,2091,645,2315,2419,2024-07-31
2023-2024,02,10,BIHAR,220,SHEOHAR,IGNWPS,3439,279,4,2781,375,2580,2807,2024-07-31
2023-2024,02,10,BIHAR,223,SUPAUL,IGNWPS,14605,2082,127,7721,4675,9559,12532,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",231,"EAST KAMENG",IGNWPS,465,0,465,0,0,310,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",232,"EAST SIANG",IGNWPS,290,0,290,0,0,198,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",234,LOHIT,IGNWPS,136,0,136,0,0,84,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",237,"PAPUM PARE",IGNWPS,421,0,421,0,0,303,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",242,"WEST KAMENG",IGNWPS,413,0,413,0,0,226,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",718,KAMLE,IGNWPS,145,0,145,0,0,86,0,2024-07-31
2023-2024,02,13,NAGALAND,613,PEREN,IGNWPS,270,0,270,0,0,0,0,2024-07-31
2023-2024,02,13,NAGALAND,615,LONGLENG,IGNWPS,111,0,110,1,0,23,0,2024-07-31
2023-2024,02,14,MANIPUR,252,BISHNUPUR,IGNWPS,658,35,2,600,21,541,0,2024-07-31
2023-2024,02,14,MANIPUR,260,UKHRUL,IGNWPS,427,1,282,144,0,394,21,2024-07-31
2023-2024,02,15,MIZORAM,261,AIZAWL,IGNWPS,719,1,698,20,0,609,486,2024-07-31
2023-2024,02,15,MIZORAM,262,CHAMPHAI,IGNWPS,214,0,214,0,0,189,185,2024-07-31
2023-2024,02,15,MIZORAM,264,LAWNGTLAI,IGNWPS,156,0,150,6,0,26,79,2024-07-31
2023-2024,02,15,MIZORAM,727,SAITUAL,IGNWPS,51,0,50,1,0,51,51,2024-07-31
2023-2024,02,16,TRIPURA,269,DHALAI,IGNWPS,1755,364,840,385,166,289,0,2024-07-31
2023-2024,02,16,TRIPURA,655,UNAKOTI,IGNWPS,1441,275,332,582,252,823,1,2024-07-31
2023-2024,02,17,MEGHALAYA,273,"EAST GARO HILLS",IGNWPS,346,0,318,28,0,322,46,2024-07-31
2023-2024,02,17,MEGHALAYA,277,"SOUTH GARO HILLS",IGNWPS,409,9,381,13,6,47,1,2024-07-31
2023-2024,02,17,MEGHALAYA,278,"WEST GARO HILLS",IGNWPS,1217,12,772,418,15,772,65,2024-07-31
2023-2024,02,18,ASSAM,281,BONGAIGAON,IGNWPS,2747,137,23,2326,261,2211,2182,2024-07-31
2023-2024,02,18,ASSAM,283,DARRANG,IGNWPS,3783,59,7,3592,125,2088,642,2024-07-31
2023-2024,02,18,ASSAM,286,DIBRUGARH,IGNWPS,4236,32,101,3708,395,3177,3141,2024-07-31
2023-2024,02,18,ASSAM,302,TINSUKIA,IGNWPS,3909,136,288,2707,778,3008,2859,2024-07-31
2023-2024,02,18,ASSAM,616,BAKSA,IGNWPS,3951,315,1245,1721,670,2502,1779,2024-07-31
2023-2024,02,18,ASSAM,618,"KAMRUP METRO",IGNWPS,829,149,75,549,56,715,786,2024-07-31
2023-2024,02,18,ASSAM,708,CHARAIDEO,IGNWPS,1893,20,20,1523,330,1408,1890,2024-07-31
2023-2024,02,19,"WEST BENGAL",305,BANKURA,IGNWPS,34779,17034,3472,12559,1674,33848,32592,2024-07-31
2023-2024,02,19,"WEST BENGAL",312,HOOGHLY,IGNWPS,47348,17097,3930,25356,958,46650,45418,2024-07-31
2023-2024,02,19,"WEST BENGAL",317,"PURBA MEDINIPUR",IGNWPS,32983,4045,547,28267,117,32639,31074,2024-07-31
2023-2024,02,19,"WEST BENGAL",664,ALIPURDUAR,IGNWPS,13020,4931,3070,5008,9,12757,12215,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",15,BILASPUR,IGNWPS,1474,489,53,855,77,832,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",16,CHAMBA,IGNWPS,2384,540,493,1298,53,334,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",18,KANGRA,IGNWPS,3646,1024,285,1182,1155,1571,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",20,KULLU,IGNWPS,1247,484,12,715,36,524,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",21,"LAHUL AND SPITI",IGNWPS,72,2,50,20,0,12,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",22,MANDI,IGNWPS,2849,638,35,1974,202,872,0,2024-07-31
2023-2024,02,20,JHARKHAND,325,DHANBAD,IGNWPS,20998,3420,2356,5884,9338,20866,4251,2024-07-31
2023-2024,02,20,JHARKHAND,327,"PURBI SINGHBHUM",IGNWPS,10281,495,3359,4694,1733,10181,5840,2024-07-31
2023-2024,02,20,JHARKHAND,328,GARHWA,IGNWPS,10119,2607,1678,2338,3496,9879,2691,2024-07-31
2023-2024,02,20,JHARKHAND,329,GIRIDIH,IGNWPS,19170,3090,1510,5916,8654,18928,9655,2024-07-31
2023-2024,02,20,JHARKHAND,330,GODDA,IGNWPS,9942,660,2516,1735,5031,9691,1750,2024-07-31
2023-2024,02,21,ODISHA,345,BOLANGIR,IGNWPS,19868,1980,2471,9513,5904,19862,9102,2024-07-31
2023-2024,02,21,ODISHA,349,BOUDH,IGNWPS,5538,645,295,3374,1224,5324,1783,2024-07-31
2023-2024,02,21,ODISHA,350,CUTTACK,IGNWPS,24848,2717,569,16652,4910,22495,9505,2024-07-31
2023-2024,02,21,ODISHA,351,DEOGARH,IGNWPS,3739,315,678,2125,621,3739,1518,2024-07-31
2023-2024,02,21,ODISHA,352,DHENKANAL,IGNWPS,15717,2165,1014,10280,2258,15717,8632,2024-07-31
2023-2024,02,21,ODISHA,353,GAJAPATI,IGNWPS,11550,689,5938,2319,2604,11317,8341,2024-07-31
2023-2024,02,21,ODISHA,363,KORAPUT,IGNWPS,27536,3649,15399,6366,2122,26503,12239,2024-07-31
2023-2024,02,21,ODISHA,369,PURI,IGNWPS,17605,1405,13,12420,3767,16655,12177,2024-07-31
2023-2024,02,22,CHHATTISGARH,374,BASTAR,IGNWPS,9249,463,4480,3482,824,9030,3934,2024-07-31
2023-2024,02,22,CHHATTISGARH,376,DANTEWADA,IGNWPS,5712,225,3778,1153,556,5006,2074,2024-07-31
2023-2024,02,22,CHHATTISGARH,381,KANKER,IGNWPS,7433,340,2981,2698,1414,6780,3774,2024-07-31
2023-2024,02,22,CHHATTISGARH,383,KORBA,IGNWPS,9802,712,3565,3368,2157,8769,909,2024-07-31
2023-2024,02,22,CHHATTISGARH,384,KOREA,IGNWPS,1674,165,803,144,562,1654,821,2024-07-31
2023-2024,02,22,CHHATTISGARH,386,RAIGARH,IGNWPS,11398,935,3699,4200,2564,11124,4212,2024-07-31
2023-2024,02,22,CHHATTISGARH,760,"MANENDRAGARH CHIRMIRI BHARATPUR",IGNWPS,3922,304,1727,1115,776,3836,1580,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",390,ANUPPUR,IGNWPS,12244,1406,6921,717,3200,6542,2617,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",393,BARWANI,IGNWPS,20079,1817,12821,732,4709,8546,5683,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",411,JABALPUR,IGNWPS,26721,4298,7861,3069,11493,13393,5576,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",412,JHABUA,IGNWPS,13295,280,12273,227,515,6117,3361,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",413,KATNI,IGNWPS,20430,2782,7125,1782,8741,11774,7034,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",421,RAISEN,IGNWPS,16090,3374,2940,2796,6980,7998,4295,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",426,SATNA,IGNWPS,26902,5314,5661,5740,10187,12782,6038,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",432,SHIVPURI,IGNWPS,17029,3810,6055,793,6371,7283,5407,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",433,SIDHI,IGNWPS,12526,1624,4214,2202,4486,6998,2640,2024-07-31
2023-2024,02,24,GUJARAT,442,BHARUCH,IGNWPS,7765,360,3453,2939,1011,7686,7700,2024-07-31
2023-2024,02,24,GUJARAT,449,KACHCHH,IGNWPS,12239,933,16,9029,2254,12238,11493,2024-07-31
2023-2024,02,24,GUJARAT,453,NAVSARI,IGNWPS,14108,211,7075,5943,879,13872,13775,2024-07-31
2023-2024,02,24,GUJARAT,456,PORBANDAR,IGNWPS,5293,317,56,1183,3737,5226,5256,2024-07-31
2023-2024,02,24,GUJARAT,460,SURENDRANAGAR,IGNWPS,11061,973,153,3069,6829,10988,10790,2024-07-31
2023-2024,02,24,GUJARAT,669,MAHISAGAR,IGNWPS,9764,284,1911,4129,3440,9758,9752,2024-07-31
2023-2024,02,24,GUJARAT,672,ARVALLI,IGNWPS,12854,597,1695,1752,8809,12810,12853,2024-07-31
2023-2024,02,24,GUJARAT,675,"GIR SOMNATH",IGNWPS,12022,325,24,7675,3997,12022,12022,2024-07-31
2023-2024,02,27,MAHARASHTRA,466,AHMEDNAGAR,IGNWPS,2396,215,47,2026,108,2073,1892,2024-07-31
2023-2024,02,27,MAHARASHTRA,471,BHANDARA,IGNWPS,6903,848,293,3415,2347,6424,6887,2024-07-31
2023-2024,02,27,MAHARASHTRA,475,GADCHIROLI,IGNWPS,3426,378,1161,903,984,3303,1523,2024-07-31
2023-2024,02,27,MAHARASHTRA,480,KOLHAPUR,IGNWPS,2326,214,1,2008,103,1705,667,2024-07-31
2023-2024,02,27,MAHARASHTRA,494,SATARA,IGNWPS,1333,68,19,1088,158,1256,1192,2024-07-31
2023-2024,02,27,MAHARASHTRA,497,THANE,IGNWPS,140,16,35,55,34,133,17,2024-07-31
2023-2024,02,27,MAHARASHTRA,499,WASHIM,IGNWPS,402,38,3,337,24,374,22,2024-07-31
2023-2024,02,27,MAHARASHTRA,500,YAVATMAL,IGNWPS,2071,95,182,1385,409,1929,713,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",502,ANANTAPUR,IGNWPS,47205,7638,1982,7642,29943,30903,37726,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",504,CUDDAPAH,IGNWPS,40027,7792,985,14286,16964,23149,27461,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",505,"EAST GODAVARI",IGNWPS,50176,9373,4067,12433,24303,32332,39346,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",511,KURNOOL,IGNWPS,40741,8026,1048,6413,25254,24409,31931,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",744,Anakapalli,IGNWPS,5024,770,287,1359,2608,5024,5010,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",751,Palnadu,IGNWPS,4893,549,1176,158,3010,4893,4877,2024-07-31
2023-2024,02,29,KARNATAKA,526,"BENGALURU RURAL",IGNWPS,7934,866,185,2219,4664,7835,5387,2024-07-31
2023-2024,02,29,KARNATAKA,535,DAVANAGERE,IGNWPS,11778,959,769,2900,7150,11623,8515,2024-07-31
2023-2024,02,29,KARNATAKA,539,HASSAN,IGNWPS,21216,2231,186,3815,14984,20897,15776,2024-07-31
2023-2024,02,29,KARNATAKA,542,KOLAR,IGNWPS,6851,626,142,3049,3034,6639,4612,2024-07-31
2023-2024,02,29,KARNATAKA,547,SHIMOGA,IGNWPS,10173,1156,229,2410,6378,9953,6922,2024-07-31
2023-2024,02,29,KARNATAKA,549,UDUPI,IGNWPS,10228,697,393,194,8944,10203,6346,2024-07-31
2023-2024,02,29,KARNATAKA,630,CHIKKABALLAPURA,IGNWPS,11077,1132,702,3061,6182,10713,7629,2024-07-31
2023-2024,02,29,KARNATAKA,631,RAMANAGARA,IGNWPS,14821,1060,129,6211,7421,14499,9286,2024-07-31
2023-2024,02,29,KARNATAKA,635,YADGIR,IGNWPS,551,70,34,150,297,530,18,2024-07-31
2023-2024,02,3,PUNJAB,30,"FATEHGARH SAHIB",IGNWPS,521,60,0,449,12,366,521,2024-07-31
2023-2024,02,3,PUNJAB,33,HOSHIARPUR,IGNWPS,1433,210,0,1223,0,876,1422,2024-07-31
2023-2024,02,3,PUNJAB,36,LUDHIANA,IGNWPS,719,69,0,646,4,499,711,2024-07-31
2023-2024,02,3,PUNJAB,37,MANSA,IGNWPS,1307,57,0,1235,15,834,1240,2024-07-31
2023-2024,02,3,PUNJAB,43,SANGRUR,IGNWPS,2128,59,1,2058,10,1067,1943,2024-07-31
2023-2024,02,3,PUNJAB,605,BARNALA,IGNWPS,385,12,0,369,4,162,381,2024-07-31
2023-2024,01,14,MANIPUR,259,THOUBAL,IGNWPS,867,72,0,680,115,670,1,2024-07-31
2023-2024,01,15,MIZORAM,264,LAWNGTLAI,IGNWPS,156,0,150,6,0,26,79,2024-07-31
2023-2024,01,15,MIZORAM,265,LUNGLEI,IGNWPS,365,0,349,16,0,225,103,2024-07-31
2023-2024,01,15,MIZORAM,268,SERCHHIP,IGNWPS,169,0,166,3,0,153,158,2024-07-31
2023-2024,01,15,MIZORAM,727,SAITUAL,IGNWPS,51,0,50,1,0,51,51,2024-07-31
2023-2024,01,17,MEGHALAYA,278,"WEST GARO HILLS",IGNWPS,1211,12,766,418,15,746,65,2024-07-31
2023-2024,01,17,MEGHALAYA,663,"SOUTH WEST GARO HILLS",IGNWPS,314,8,252,47,7,238,2,2024-07-31
2023-2024,01,18,ASSAM,286,DIBRUGARH,IGNWPS,4234,32,99,3708,395,3173,3139,2024-07-31
2023-2024,01,18,ASSAM,289,HAILAKANDI,IGNWPS,2834,483,28,2096,227,2157,2321,2024-07-31
2023-2024,01,18,ASSAM,293,KARIMGANJ,IGNWPS,3767,175,7,3508,77,3444,2544,2024-07-31
2023-2024,01,18,ASSAM,302,TINSUKIA,IGNWPS,3901,136,288,2699,778,3000,2851,2024-07-31
2023-2024,01,18,ASSAM,706,MAJULI,IGNWPS,537,78,224,134,101,515,517,2024-07-31
2023-2024,01,19,"WEST BENGAL",303,"24 PARGANAS NORTH",IGNWPS,76711,17563,2626,53732,2547,74964,64976,2024-07-31
2023-2024,01,19,"WEST BENGAL",305,BANKURA,IGNWPS,34995,17172,3505,12653,1625,34456,33176,2024-07-31
2023-2024,01,19,"WEST BENGAL",315,KOLKATA,IGNWPS,16769,0,0,16768,0,16670,13974,2024-07-31
2023-2024,01,19,"WEST BENGAL",320,NADIA,IGNWPS,42137,9629,1151,30962,364,40672,39959,2024-07-31
